state,year,hhi
Tamil Nadu,2014,1875.191979256432
Tamil Nadu,2015,1814.6902584149154
Tamil Nadu,2016,1779.675561693708
Tamil Nadu,2017,1641.1237484642404
Tamil Nadu,2018,1815.0598562537532
Tamil Nadu,2019,2611.6056000470394
Tamil Nadu,2020,2667.321563615867
Tamil Nadu,2021,2723.718567989844
Telangana,2008,1930.7579192954613
Telangana,2009,1878.6243682065888
Telangana,2010,1715.0990951976937
Telangana,2011,1617.4934311891086
Telangana,2012,1615.9859701980129
Telangana,2013,1693.721581001036
Telangana,2014,1753.313448175205
Telangana,2015,1796.7186301920497
Telangana,2016,1866.1192436296692
Telangana,2017,1804.5036795578167
Telangana,2018,2088.0860983207263
Telangana,2019,2735.8600117237934
Telangana,2020,2898.3680978270186
Telangana,2021,2973.69415011945
The Dadra And Nagar Haveli And Daman And Diu,2008,2124.806430390303
The Dadra And Nagar Haveli And Daman And Diu,2009,2098.973553195971
The Dadra And Nagar Haveli And Daman And Diu,2010,1990.1631325389296
The Dadra And Nagar Haveli And Daman And Diu,2011,1765.6202337100162
The Dadra And Nagar Haveli And Daman And Diu,2012,1732.4530777962625
The Dadra And Nagar Haveli And Daman And Diu,2013,1811.3346562214067
The Dadra And Nagar Haveli And Daman And Diu,2014,1817.6503528245446
The Dadra And Nagar Haveli And Daman And Diu,2015,1882.1721743024216
The Dadra And Nagar Haveli And Daman And Diu,2016,1846.4666640973198
The Dadra And Nagar Haveli And Daman And Diu,2017,1697.806079452699
The Dadra And Nagar Haveli And Daman And Diu,2018,1658.847628123807
The Dadra And Nagar Haveli And Daman And Diu,2019,3218.545871143373
The Dadra And Nagar Haveli And Daman And Diu,2020,3155.7451988352736
The Dadra And Nagar Haveli And Daman And Diu,2021,3119.200925823988
Tripura,2008,2772.858901148068
Tripura,2009,2526.5495712168486
Tripura,2010,2293.044242003985
Tripura,2011,2154.1313048697434
Tripura,2012,2145.4687846269417
Tripura,2013,2189.478053436977
Tripura,2014,2251.0308262345116
Tripura,2015,2338.314647029343
Tripura,2016,2447.2240056989363
Tripura,2017,2272.0184053268895
Tripura,2018,2542.897753091146
Tripura,2019,3032.5541519708854
Tripura,2020,3185.6371435923343
Tripura,2021,3310.9619162785707
Uttar Pradesh,2008,1855.0306707637471
Uttar Pradesh,2009,1823.8807952311565
Uttar Pradesh,2010,1638.9159150352798
Uttar Pradesh,2011,1499.1165678954776
Uttar Pradesh,2012,1427.5861626199562
Uttar Pradesh,2013,1446.27440012287
Uttar Pradesh,2014,1471.970438429503
Uttar Pradesh,2015,1497.996776167626
Uttar Pradesh,2016,1482.4676411662867
Uttar Pradesh,2017,1427.121437066184
Uttar Pradesh,2018,1684.7658628893466
Uttar Pradesh,2019,2782.7079566518064
Uttar Pradesh,2020,2751.98977142009
Uttar Pradesh,2021,2796.5193150679024
Uttarakhand,2008,1774.552183144825
Uttarakhand,2009,1742.3038587649858
Uttarakhand,2010,1590.6109099355556
Uttarakhand,2011,1479.8905326139889
Uttarakhand,2012,1430.6926458792748
Uttarakhand,2013,1558.643353883637
Uttarakhand,2014,1645.083729594655
Uttarakhand,2015,1684.6568756038794
Uttarakhand,2016,1630.8453902292626
Uttarakhand,2017,1531.3149132547862
Uttarakhand,2018,1592.0365088903013
Uttarakhand,2019,3059.595522868768
Uttarakhand,2020,2901.505412803821
Uttarakhand,2021,2864.559747581625
West Bengal,2008,2038.633571597316
West Bengal,2009,1989.5666138556178
West Bengal,2010,1681.4045616553076
West Bengal,2011,1545.4706963191343
West Bengal,2012,1472.1764321395606
West Bengal,2013,1676.4420409169468
West Bengal,2014,1818.2699633187206
West Bengal,2015,1871.0956537860995
West Bengal,2016,1992.8197835986443
West Bengal,2017,1898.2136302058739
West Bengal,2018,2027.1018566835864
West Bengal,2019,3101.333491443083
West Bengal,2020,3051.5483056620596
West Bengal,2021,3073.909397995195
